output	quote	render-status
quote-1	Success is not final, failure is not fatal: It is the courage to continue that counts.	ready
quote-2	Don't watch the clock; do what it does. Keep going!	ready
quote-3	You miss 100% of the shots you don't take.	ready
quote-4	I have not failed. I've just found 10000 ways that won't work.	ready
quote-5	You don't have to be great to start, but you have to start to be great.	ready
quote-6	It does not matter how slowly you go as long as you do not stop.	ready
quote-7	You are never too old to set another goal or to dream a new dream.	ready
quote-8	The only way to do great work is to love what you do.	ready
quote-9	Keep your eyes on the stars, and your feet on the ground.	ready
quote-10	You are stronger than you seem, braver than you believe, and smarter than you think.	ready
quote-11	Do something today that your future self will thank you for.	ready
quote-12	The best way to predict your future is to create it.	ready
quote-13	You don't have to be good at something to start, but you have to start to be good at it.	ready
quote-14	The greatest glory in living lies not in never falling, but in rising every time we fall.	ready
quote-15	You are never too old to set another goal or to dream a new dream.	ready
quote-16	Don't be afraid to give up the good to go for the great.	ready
quote-17	Keep moving forward.	ready
quote-18	You are one step closer to your goal with every attempt.	ready
quote-19	Success is not something we find, success is something we go after.	ready
quote-20	The only limit to our realization of tomorrow will be our doubts of today.	ready
quote-21	You don't have to be perfect to be amazing.	ready
quote-22	The future belongs to those who believe in the beauty of their dreams.	ready
quote-23	You are stronger than you seem, braver than you believe, and smarter than you think.	ready
quote-24	Keep your heart and mind open to new possibilities.	ready
quote-25	The best is yet to come.	ready
quote-26	You are never too old to learn something new.	ready
quote-27	The only way to achieve the impossible is to believe it is possible.	ready
quote-28	You don't have to be great to start, but you have to start to be great.	ready
quote-29	Keep pushing forward, even when the road gets tough.	ready
quote-30	The greatest glory in living lies not in never falling, but in rising every time we fall.	ready
quote-31	You are capable of achieving anything you set your mind to.	ready
quote-32	The future is what you make it, so make it a good one.	ready
quote-33	Keep moving forward, even when the road gets tough.	ready
quote-34	You don't have to be perfect to be amazing.	ready
quote-35	The best way to predict your future is to create it.	ready
quote-36	You are stronger than you seem, braver than you believe, and smarter than you think.	ready
quote-37	The only limit to our realization of tomorrow will be our doubts of today.	ready
quote-38	Keep your heart and mind open to new possibilities.	ready
quote-39	You are one step closer to your goal with every attempt.	ready
quote-40	The future belongs to those who believe in the beauty of their dreams.	ready
quote-41	The only way to achieve the impossible is to believe it is possible.	ready
quote-42	You are never too old to set another goal or to dream a new dream.	ready
quote-43	Keep pushing forward, even when the road gets tough.	ready
quote-44	Success is not something we find, success is something we go after.	ready
quote-45	You are capable of achieving anything you set your mind to.	ready
quote-46	The greatest glory in living lies not in never falling, but in rising every time we fall.	ready
quote-47	You don't have to be great to start, but you have to start to be great.	ready
quote-48	The future is what you make it, so make it a good one.	ready
quote-49	Keep your eyes on the stars, and your feet on the ground.	ready
